rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
1,Venusticrus rotermundiae,Venusticrus rotermundiae,Venusticrus rotermundiae,species,species,Arauijo-Silva_etal_2015,,2015,comb. nov.,,,,,,text,NA,epibenthic sledge,,,record,record,,macrofauna,morphology and molecular data,,,,no habitat info,,,,exact,853224,Venusticrus rotermundiae,"Weigmann & Guerrero-Kommritz, 2009",Animalia,Arthropoda,Malacostraca,Tanaidacea,Neotanaidae,Venusticrus,,rotermundiae,,,,,,,,,,,,,,,,,,
2,Polychaeta sp. 1,Polychaeta,Polychaeta,class,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,883,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
3,Polynoidae sp. 1,Polynoidae,Polynoidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,939,Polynoidae,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
4,Sabellidae sp. 1,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
5,Sabellidae sp. 2,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
6,Sabellidae sp. 3,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
7,Sabellidae sp. 4,Sabellidae,Sabellidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,985,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
8,Serpulidae sp. 1,Serpulidae,Serpulidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,988,Serpulidae,"Rafinesque, 1815",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
9,Serpulidae sp. 2,Serpulidae,Serpulidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,988,Serpulidae,"Rafinesque, 1815",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
10,Decapoda (juvenile?) sp. 1,Decapoda,Decapoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1130,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
11,Decapoda sp. 2,Decapoda,Decapoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1130,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
12,Decapoda sp. 3,Decapoda,Decapoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1130,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
13,Plesiopenaeus armatus,Cerataspis monstrosus,Cerataspis monstrosus,species,species,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,record,record,,megafauna,morphology only (imagery),morphology only (ROV imagery),,,benthic,,exact,unaccepted name,accepted,589796,Cerataspis monstrosus,"Gray, 1828",Animalia,Arthropoda,Malacostraca,Decapoda,Aristeidae,Cerataspis,,monstrosus,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
14,Nematocarcinus sp. 1,Nematocarcinus,Nematocarcinus,genus,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,107015,Nematocarcinus,"A. Milne-Edwards, 1881",Animalia,Arthropoda,Malacostraca,Decapoda,Nematocarcinidae,Nematocarcinus,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
15,Hymenopenaeus nereus,Hymenopenaeus nereus,Hymenopenaeus nereus,species,species,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,record,record,,megafauna,morphology only (imagery),morphology only (ROV imagery),,,benthic,,exact,,accepted,377453,Hymenopenaeus nereus,"(Faxon, 1893)",Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Hymenopenaeus,,nereus,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
16,Amphipoda sp. 1,Amphipoda,Amphipoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1135,Amphipoda,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
17,Amphipoda sp. 2,Amphipoda,Amphipoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1135,Amphipoda,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
18,Amphipoda sp. 3,Amphipoda,Amphipoda,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1135,Amphipoda,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
19,Eurycopinae sp. 1,Eurycopinae,Eurycopinae,subfamily,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,y,exact,,accepted,325351,Eurycopinae,"Hansen, 1916",Animalia,Arthropoda,Malacostraca,Isopoda,Munnopsidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
20,Scalpelliformes sp. 1,Scalpellomorpha,Scalpellomorpha,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,alternative representation,accepted,106038,Scalpellomorpha,"Buckeridge & Newman, 2006",Animalia,Arthropoda,Thecostraca,Scalpellomorpha,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
21,Pycnogonida sp. 1,Pycnogonida,Pycnogonida,class,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1302,Pycnogonida,"Latreille, 1810",Animalia,Arthropoda,Pycnogonida,,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
22,Bryozoa sp. 1,Bryozoa,Bryozoa,phylum,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,146142,Bryozoa,,Animalia,Bryozoa,,,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
23,Bryozoa sp. 2,Bryozoa,Bryozoa,phylum,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,146142,Bryozoa,,Animalia,Bryozoa,,,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
24,Cyclostomatida sp. 1,Cyclostomatida,Cyclostomatida,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,110724,Cyclostomatida,"Busk, 1852",Animalia,Bryozoa,Stenolaemata,Cyclostomatida,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
25,Cyclostomatida sp. 2,Cyclostomatida,Cyclostomatida,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,110724,Cyclostomatida,"Busk, 1852",Animalia,Bryozoa,Stenolaemata,Cyclostomatida,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
26,Ascidiacea sp. 1,Ascidiacea,Ascidiacea,class,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1839,Ascidiacea,"Blainville, 1824",Animalia,Chordata,Ascidiacea,,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
27,Megalodicopia sp. 1,Megalodicopia,Megalodicopia,genus,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,249571,Megalodicopia,"Oka, 1918",Animalia,Chordata,Ascidiacea,Phlebobranchia,Octacnemidae,Megalodicopia,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
28,Bathysaurus cf. mollis,Bathysaurus mollis,Bathysaurus,genus,temporary name,Amon_etal_2016,,2016,cf.,,,,,,S Table 2,NA,ROV imagery,,,temporary name,temp name- sciname with qualifier,,megafauna,morphology only (imagery),morphology only (ROV imagery),I ONLY,no,no habitat info,,exact,,accepted,126370,Bathysaurus mollis,"Günther, 1878",Animalia,Chordata,Actinopteri,Aulopiformes,Bathysauridae,Bathysaurus,,mollis,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
29,Ipnops cf. meadi,Ipnops meadi,Ipnops,genus,temporary name,Amon_etal_2016,,2016,cf.,,,,,,S Table 2,NA,ROV imagery,,,temporary name,temp name- sciname with qualifier,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),I ONLY,no,no habitat info,,,,,,Ipnops meadi,"Nielsen, 1966",Animalia,Chordata,Actinopteri,Aulopiformes,Ipnopidae,Ipnops,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
30,Coryphaenoides armatus/yaquinae,Coryphaenoides,Coryphaenoides,genus,genus,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,record,record,,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,nb not identifiable from imagery to species,accepted,125748,Coryphaenoides,"Gunnerus, 1765",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
31,Ophidiidae sp. 1,Ophidiidae,Ophidiidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,125505,Ophidiidae,"Rafinesque, 1810",Animalia,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
32,Bassozetus cf. nasus,Bassozetus nasus,Bassozetus,genus,temporary name,Amon_etal_2016,,2016,cf.,,,,,,S Table 2,NA,ROV imagery,,,temporary name,temp name- sciname with qualifier,,megafauna,morphology only (imagery),morphology only (ROV imagery),I ONLY,no,no habitat info,,exact,,accepted,272792,Bassozetus nasus,"Garman, 1899",Animalia,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Bassozetus,,nasus,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
33,Pachycara cf. bulbiceps,Pachycara bulbiceps,Pachycara,genus,temporary name,Amon_etal_2016,,2016,cf.,,,,,,S Table 2,NA,ROV imagery,,,temporary name,temp name- sciname with qualifier,,megafauna,morphology only (imagery),morphology only (ROV imagery),I ONLY,no,no habitat info,,exact,,accepted,127121,Pachycara bulbiceps,"(Garman, 1899)",Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Pachycara,,bulbiceps,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
34,Actiniaria sp. A,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
35,Actiniaria sp. B,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
36,Actiniaria sp. C,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
37,Actiniaria sp. F,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
38,Actiniaria sp. G,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
39,Actiniaria sp. H,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
40,Actiniaria sp. I,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
41,Actiniaria sp. J,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
42,Actiniaria sp. K,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
43,Actiniaria sp. L,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
44,Actiniaria sp. M,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
45,Actiniaria sp. N,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
46,Actiniaria sp. O,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
47,Actiniaria sp. 2,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
48,Actiniaria sp. 4,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
49,Actiniaria sp. 8,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
50,Actiniaria sp. 10,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
51,Actiniaria sp. 12,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
52,Actiniaria sp. 14,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
53,Actiniaria sp. 15,Actiniaria,Actiniaria,order,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
54,Phelliactis sp. E,Phelliactis,Phelliactis,genus,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,100762,Phelliactis,"Simon, 1892",Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Phelliactis,,,,,UK-1,,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
55,Schizopathidae sp. 1,Schizopathidae,Schizopathidae,family,temporary name,Amon_etal_2016,,2016,,,,,,,S Table 2,NA,ROV imagery,,,temporary name,poss indet not undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,,,,exact,,accepted,266964,Schizopathidae,"Brook, 1889",Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,,,,,,UK-1,EPIRB,,,,,,,,,UK-1 Stratum A,,2013,2013,ABYSSLINE AB01,
